Neighborhooods,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,2015,2016,2017,2018,2019
Bayview Hunters Point,11.69,11.51,11.11,11.01,10.43,10.78,9.31,9.37,11.17,10.48,10.16,10.21,10.01,10.33,10.55,10.43,11.25,10.79,9.94,10.08,10.52,10.26,9.40,10.54,10.47,10.55,10.06,9.90,9.74,21.81,9.74,10.10,10.64,9.83,9.99,9.98,10.55,10.40,9.81,10.28,10.51,9.97,9.87,10.13,10.52,10.66,11.85,10.47,10.02,10.05,10.27,10.28,10.81,10.25,10.40,10.65,12.21,10.27,9.95,10.14,10.604,10.337,11.059,10.430,10.460
Bernal Heights,10.19,9.99,9.90,10.13,9.62,9.20,9.30,10.06,9.86,9.50,9.35,9.34,9.95,10.04,9.39,10.13,9.96,48.46,10.75,9.33,10.69,9.30,10.40,9.78,10.39,10.16,9.44,9.80,9.84,9.47,9.44,8.86,10.99,9.97,12.89,10.50,9.90,10.07,10.25,9.41,10.54,11.55,9.28,9.57,9.31,12.77,9.85,9.62,9.62,11.67,9.13,9.48,10.20,9.16,10.57,8.94,10.30,9.53,10.08,10.10,9.704,13.726,10.161,10.184,9.890
Castro/Upper Market,9.45,9.11,8.96,7.99,8.13,8.78,8.41,7.44,8.53,8.10,7.88,8.47,9.13,8.62,9.18,9.11,8.67,7.98,7.99,7.65,9.63,12.99,8.46,8.97,8.67,8.14,8.07,8.32,8.49,8.16,11.52,8.68,8.63,8.25,8.14,8.01,8.45,11.41,8.70,7.99,9.03,9.22,7.92,7.68,8.75,8.72,7.98,8.02,8.90,8.69,8.62,8.23,8.17,8.54,8.93,8.35,9.20,8.76,15.67,8.33,8.454,9.099,8.606,8.645,9.220
Chinatown,9.26,8.88,9.35,9.83,10.02,8.66,7.59,8.22,8.29,10.61,9.43,8.45,8.10,8.95,8.55,9.27,8.36,10.78,8.18,8.81,9.38,8.35,8.87,9.16,9.42,20.57,9.20,8.72,9.26,8.95,8.26,8.62,9.69,8.89,8.16,10.03,8.76,8.48,18.85,8.80,9.48,9.05,7.97,8.18,8.84,9.49,8.65,9.91,8.93,8.47,9.64,9.21,9.01,9.33,9.68,9.32,10.12,9.71,9.80,9.70,9.062,8.912,10.031,9.856,9.403
Excelsior,10.51,10.24,10.31,11.53,9.84,9.59,9.31,9.62,9.49,9.95,10.03,9.37,9.35,9.56,10.12,9.99,9.92,10.12,10.33,9.37,10.34,10.08,11.77,11.30,10.42,10.07,10.02,10.78,10.08,8.23,11.75,9.60,11.26,10.53,9.40,10.34,9.89,9.47,9.84,8.85,10.10,10.00,9.64,10.43,11.08,10.00,10.35,9.83,10.01,10.09,10.62,9.97,8.94,10.18,10.18,10.23,10.04,12.71,10.13,10.22,9.983,10.209,10.228,9.970,10.308
Financial District/South Beach,10.80,10.01,10.09,9.83,10.01,9.69,9.74,9.43,10.00,9.17,11.10,10.20,9.99,9.64,9.40,9.59,9.93,9.60,9.35,9.97,10.74,9.77,10.24,10.52,9.93,12.52,10.01,9.45,9.43,9.52,9.69,9.39,10.13,10.16,9.77,10.17,15.11,9.55,10.27,9.39,9.49,9.48,9.36,9.69,10.03,9.90,9.46,9.59,10.31,9.72,9.68,9.58,9.68,9.89,9.99,9.88,9.89,9.45,9.25,9.91,9.989,9.895,9.989,10.113,9.768
Glen Park,10.06,9.33,8.96,9.74,10.47,10.40,11.05,8.97,8.23,9.61,11.03,9.84,8.73,9.39,8.78,9.18,9.31,9.42,8.94,10.09,9.50,9.50,9.62,10.50,9.67,10.49,10.03,12.36,10.75,10.09,9.35,10.06,10.62,9.35,8.65,10.59,9.77,11.20,9.66,10.02,13.41,9.59,9.38,9.72,9.94,8.77,9.03,9.09,8.68,9.16,10.07,9.07,10.06,9.85,9.72,9.82,9.09,10.46,8.57,9.00,9.889,9.419,10.152,9.967,9.461
Golden Gate Park,10.77,11.45,9.31,10.82,8.93,8.79,11.63,9.02,8.65,8.30,9.68,8.62,8.28,9.52,9.18,9.36,8.55,8.68,8.05,9.04,9.40,9.21,8.88,11.24,10.67,9.87,9.29,9.20,8.80,10.06,10.11,9.79,11.37,8.51,7.99,10.21,8.95,8.60,9.52,10.96,9.72,11.07,14.39,8.01,9.03,8.80,14.18,8.95,8.74,9.73,10.29,8.77,9.26,9.72,9.03,9.90,10.40,9.10,9.75,8.22,9.618,9.103,9.633,10.265,9.467
Haight Ashbury,8.63,8.92,8.10,8.40,8.20,8.11,8.36,11.58,8.08,7.89,8.27,7.99,8.68,8.91,9.67,9.07,8.94,7.64,7.87,7.98,8.96,8.43,8.29,9.21,8.74,8.81,7.82,9.81,8.89,8.17,8.52,11.08,8.60,8.58,8.21,8.03,7.82,8.40,8.23,8.08,9.19,8.38,8.42,7.51,8.28,7.81,8.27,7.98,7.42,11.06,8.50,8.36,8.38,7.69,7.83,9.15,7.97,9.74,8.11,8.51,8.565,8.680,8.828,8.185,8.570
Hayes Valley,8.92,8.67,8.68,9.42,9.45,7.90,8.40,8.54,8.80,8.03,8.75,8.39,8.26,8.49,8.96,8.98,8.99,7.44,8.08,8.30,11.27,8.52,8.50,9.25,8.43,8.85,8.31,8.22,9.64,8.37,8.80,9.87,9.56,8.16,8.21,8.64,8.59,8.72,8.32,8.59,8.40,9.34,8.53,8.43,8.72,8.98,7.93,9.35,7.87,8.42,8.13,8.23,8.58,8.79,8.52,8.23,8.37,8.35,8.32,8.70,8.676,8.808,8.759,8.655,8.390
