Neighborhooods,2015,2016,2017,2018,2019
Bayview Hunters Point,10.604,10.337,11.059,10.430,10.460
Bernal Heights,9.704,13.726,10.161,10.184,9.890
Castro/Upper Market,8.454,9.099,8.606,8.645,9.220
Chinatown
Excelsior
Financial District/South Beach
Glen Park
Golden Gate Park
Haight Ashbury
Hayes Valley
Inner Richmond
Inner Sunset
Japantown
Lakeshore
Lincoln Park
Lone Mountain/USF
Marina
McLaren Park
Mission
Mission Bay
Nob Hill
Noe Valley
North Beach
Oceanview/Merced/Ingleside
Outer Mission
Outer Richmond
Pacific Heights
Portola
Potrero Hill
Presidio
Presidio Heights
Russian Hill
Seacliff
South of Market
Sunset/Parkside
Tenderloin
Treasure Island
Twin Peaks
Visitacion Valley
West of Twin Peaks
Western Addition
