super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed
3478,Austin Peay State University,1,5,Selective public,1,3,TN,5900,Clarksville,47125,Montgomery,0,1065.666666666667,.57209885,.56917989,.013754671,.00063322921,83845.63542725603,66600,.5289139039709601,.11998721,.19676976,.25377014,.27990785,.149565,.049760096,.019214438,.0026745026,.00031097076,.54391879,37157.31941810682,33500,36800,.11771819,.13048905,.17065562,.22994362,.2802183,.18869342,.075494044,.033531729,.004476971,.48622122,.53918034,.53707081,.55848676,.58079565,.16529575,.22268651,.25980377,.23757951,.11463448,.14465629,.16465926,.23298328,.26971611,.18798508,.12930943,.18052064,.22367087,.28510809,.18139097,.1207952,.15667817,.23387659,.29357931,.19507073,.1040704,.14622346,.20527221,.29494029,.24949367,.0052774725,.0016144725,.0011876249,.0045193741,.013102464,.43277711,.51217556,.59109992,.60710537,.64543474,0,0
6777,Flathead Valley Community College,1,9,Two-year (public and private not-for-profit),2,4,MT,34503,Kalispell,30029,Flathead,0,311,.55734193,.53862935,.018682133,.000015121342,65496.90670217042,55700,.4692486875629629,.16455267,.22160104,.29417735,.21460983,.1050591,.039433256,.02154066,.0061021377,.00005522323,.48310643,29934.28361342779,26000,29800,.14011016,.15191415,.24630857,.26597464,.20454565,.131257,.066684917,.027566729,.0032274642,.40943137,.47453731,.49395207,.4978855,.55601841,.2098439,.33799553,.25385883,.084768891,.11353285,.17104866,.22037548,.26687714,.22846833,.11323037,.12495336,.23529884,.30737165,.2064424,.12593372,.15605418,.23960093,.208464,.24333863,.15254222,.087855324,.20193157,.28461158,.25713456,.16846697,.000091893628,.0044237515,.00042023681,.00973571,.00018115126,.51738989,.51306367,.5484665,.55263293,.56967103,0,0
1305,Stanford University,2,1,Ivy Plus,1,4,CA,37500,San Jose,6085,Santa Clara,0,1516.333333333333,.50714445,.54568028,.022457635,.0066273212,472210.529161629,172600,.8093922086589073,.035795204,.058271918,.086171605,.12980568,.68995559,.55813354,.42007127,.14479454,.023389934,.77462727,174059.0453018521,84800,94000,.080435775,.086458147,.066362321,.073925003,.10052297,.67273152,.53910041,.43070355,.20914166,.73601496,.76411283,.71358025,.75957096,.78797555,.088627793,.092627563,.096218154,.095134191,.62739229,.099484488,.051254701,.093810327,.12246555,.63298494,.13465455,.088383533,.080972627,.11093209,.5850572,.090424113,.065498084,.096412681,.1049468,.64271837,.078479804,.063687883,.065978006,.096817002,.69503725,.18514551,.16969123,.14527902,.16127513,.23069999,.48508567,.43039635,.5215683,.50727874,.56879675,0,0
2251,Delta College,1,9,Two-year (public and private not-for-profit),2,2,MI,11900,Saginaw,26017,Bay,0,2036.666666666667,.51767594,.53904021,.010663178,1.2641869e-06,83777.15743274345,75800,.5743788197856098,.11479627,.14606149,.21770677,.29058498,.23085049,.073764659,.022378601,.0029708515,.000031908901,.51807904,32686.7871876918,29200,33000,.1222119,.13486844,.2074286,.24517441,.24533333,.16719523,.059280541,.02115066,.0017049041,.46254379,.49526507,.51464033,.53236634,.54538882,.16881786,.27899307,.25396812,.2053331,.092887849,.14288557,.22989473,.25832725,.2231719,.14572056,.11630639,.2276244,.27639022,.23491052,.14476846,.13325508,.18708569,.22686632,.26444063,.1883523,.13244972,.1641877,.22608653,.26502416,.2122519,.000011012439,.0011653707,.00094337616,.0024487341,.0026704706,.42654443,.49485579,.55543959,.58287793,.55229074,0,0
2024,Southeastern Louisiana University,1,5,Selective public,1,3,LA,3500,Baton Rouge,22105,Tangipahoa,0,2536.666666666667,.58567673,.52056783,.018495673,.00052679714,84423.66316318988,72700,.5548383061111991,.14494023,.15858816,.20191181,.26755148,.22700837,.083241194,.037207946,.0050729518,.00015363675,.55690467,38445.83469992198,34000,37900,.11769327,.13036519,.16091177,.22301522,.26712441,.21858345,.10603262,.048862409,.0054514268,.51055461,.54381669,.53772902,.58421588,.58050829,.1307838,.22908439,.28519532,.22732751,.12760897,.11845954,.18123227,.25423381,.2700057,.17606868,.15636928,.15974413,.21708585,.26642838,.2003724,.11920179,.13468295,.19644672,.29682317,.25284538,.12844317,.13514072,.19809252,.25613725,.28218633,.003634582,.0050074956,.0019491328,.0079516228,.0070899529,.34450108,.45112815,.52551037,.59509325,.58926177,0,0
1752,Sauk Valley Community College,1,9,Two-year (public and private not-for-profit),2,2,IL,24400,Rockford,17103,Lee,0,594.3333333333334,.53224903,.51419455,.014172745,.000033760836,63842.45190251683,64900,.5151754510048328,.13832948,.16643701,.28591514,.28586039,.12345802,.034058411,.0093100714,0,0,.51630741,32024.49238138846,28900,32600,.12370736,.13583331,.20625155,.25234202,.24714965,.15842359,.062184855,.01728479,.0027405333,.42376253,.48229539,.51566631,.55867338,.56924123,.20582229,.3072494,.24553357,.13893832,.10245644,.13431831,.25958902,.27436849,.22856353,.10316073,.14226438,.19767995,.2298961,.27952614,.15063347,.099928245,.1736799,.27472427,.265654,.18601362,.12769853,.11645069,.23043343,.27562591,.2497914,.00024406104,0,.0036342731,.0019908294,.0088984063,.39355132,.42151293,.52217764,.58047599,.60235751,0,0
2234,Adrian College,2,6,Selective private,1,2,MI,11500,Jackson,26091,Lenawee,0,240.3333333333333,.55478501,.65137172,.0095646288,.000042307722,113708.1117154993,88500,.6431393285234163,.060760289,.11535594,.20081325,.28132689,.34174353,.1497259,.072932914,.011504383,.0013226749,.60715014,43944.55248786408,40300,42700,.082058199,.085792035,.12808184,.21049739,.30366662,.27196202,.11347157,.038714342,.0035677333,.54885733,.60171163,.5991171,.59635538,.63295698,.15087558,.16439058,.21269469,.31462336,.15741579,.083161861,.14765577,.20696786,.33797786,.22423662,.073973455,.1153337,.24982749,.3447499,.21611543,.09041439,.13870628,.23076543,.26504341,.27507061,.078247949,.113764,.17150237,.2977908,.33869484,.00069630548,0,.0067530964,0,.0063477848,.43425807,.68422318,.60610479,.68589699,.67706251,0,0
3127,University Of Dayton,2,6,Selective private,1,2,OH,12501,Dayton,39113,Montgomery,0,1577,.5189178,.69250166,.0064703356,.00041319488,212071.4411890985,128400,.7851212961405133,.017676987,.051321264,.10971996,.23096098,.59032083,.40017217,.2478462,.06234473,.0039985087,.71786863,68792.80350844166,57300,61200,.069880113,.077770635,.075770281,.10482167,.22562461,.51601279,.32533523,.17496963,.043864775,.67653632,.68334275,.69724506,.72119677,.724639,.069919251,.13144587,.11845313,.31415018,.36603159,.088832766,.1032804,.1113275,.25730076,.43925861,.071270518,.085712574,.12823792,.24236004,.47241887,.064800918,.081488132,.10158391,.24483907,.50728798,.083326526,.067626409,.10076237,.20959173,.53869295,.023374734,.012165793,.020869181,.040470522,.052836254,.578951,.63375533,.67865062,.69186962,.7038309,0,0
3509,University Of Memphis ,1,5,Selective public,1,3,TN,5202,Memphis,47157,Shelby,0,2223,.57744789,.48507318,.012482209,.00015977857,105277.8992376106,83000,.607254256165748,.10180609,.15564367,.18038303,.24701527,.31515202,.154882,.070566155,.010609661,.00061264826,.57352173,42918.67639626912,36100,39100,.10257734,.11304088,.15718164,.21889189,.2735098,.23737589,.10589013,.050791312,.0090200705,.51874191,.54700392,.56187034,.58734721,.60014641,.11703884,.19875953,.27789024,.28370371,.12260769,.11813322,.17649086,.24849549,.29897034,.15791012,.12377328,.15919152,.23710777,.26948482,.21044253,.10211419,.15192743,.20994344,.27668202,.25933298,.11165582,.13718198,.18180035,.25745997,.31190184,.0015694402,.0065912069,.0075665368,.0059866579,.015835982,.27344966,.33090115,.47497302,.54612726,.58750319,0,0
5317,Forsyth Technical Community College,1,9,Two-year (public and private not-for-profit),2,3,NC,401,Winston-Salem,37067,Forsyth,0,953.3333333333334,.54860139,.4618026,.0053033051,0,75645.00001365822,67300,.5286152952617699,.14158376,.20054689,.20826049,.27485666,.17475227,.061356973,.020973278,.0026852279,.000035572069,.47245207,27207.11060423951,24900,28600,.13011186,.14950947,.23440593,.30552587,.2157149,.094843879,.024245001,.008944883,.00065604982,.4138279,.44504398,.48582321,.48663166,.51316553,.13636096,.38552144,.30010474,.14055569,.037457015,.15596758,.27847424,.30783126,.19260077,.065126114,.15044869,.19393258,.3282277,.22501111,.10237981,.15944323,.1910383,.30524105,.23809238,.10618515,.13600749,.17784366,.28066531,.25685969,.1486239,0,.0019060351,0,.00016718681,.0013038341,.28211963,.37589303,.52590841,.51587498,.54452658,0,0
